dataset,task,n_samples,n_features,grouped,status,model,bal_acc,auc,brier,mcc,repeat,fold,mae,r2,spearman
rehab24_ex1,classification,88,20,True,active,dummy,0.6499999999999999,0.65,0.35,0.3015113445777636,14,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6166666666666667,0.6166666666666667,0.3636363636363636,0.2608745973749754,14,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.4666666666666667,0.0,15,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5333333333333333,0.5333333333333333,0.4545454545454545,0.0690065559342354,15,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5227272727272727,0.5227272727272727,0.4761904761904761,0.0454545454545454,15,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4318181818181818,0.4318181818181817,0.5714285714285714,-0.137620470640795,15,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.35,0.35,0.65,-0.3015113445777636,15,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6,0.6,0.4,0.1889822365046136,16,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.1666666666666666,0.1666666666666666,0.8181818181818182,-0.6900655593423543,16,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6136363636363636,0.6136363636363636,0.3809523809523809,0.2337367475021143,16,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.3409090909090909,0.3409090909090909,0.6666666666666666,-0.337099931231621,16,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.55,0.45,0.1048284836721918,16,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.4666666666666667,0.0,17,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5318181818181817,0.5318181818181817,0.4761904761904761,0.0674199862463242,17,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4227272727272727,0.4227272727272727,0.5714285714285714,-0.1589409883014377,17,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.5,0.0,17,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.7166666666666667,0.7166666666666668,0.2727272727272727,0.4485426135725303,17,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.2,0.2,0.7333333333333333,-0.5773502691896257,18,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.5499999999999999,0.4545454545454545,0.1,18,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4681818181818181,0.4681818181818182,0.5238095238095238,-0.0674199862463242,18,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.6272727272727273,0.6272727272727273,0.3809523809523809,0.2696799449852968,18,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4,0.3999999999999999,0.6,-0.2182178902359924,18,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.55,0.55,0.4,0.1,19,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5318181818181817,0.5318181818181817,0.4761904761904761,0.0674199862463242,19,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4681818181818181,0.4681818181818182,0.5238095238095238,-0.0674199862463242,19,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4,0.3999999999999999,0.6,-0.2182178902359924,19,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4333333333333333,0.4333333333333332,0.5454545454545454,-0.1490711984999859,19,5,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5,0.5,0.4666666666666667,0.0,20,1,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.4772727272727273,0.4772727272727273,0.5238095238095238,-0.0454545454545454,20,2,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.5227272727272727,0.5227272727272727,0.4761904761904761,0.0454545454545454,20,3,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.45,0.45,0.55,-0.1005037815259212,20,4,,,
rehab24_ex1,classification,88,20,True,active,dummy,0.2666666666666666,0.2666666666666666,0.7272727272727273,-0.4666666666666667,20,5,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.7,0.94,0.228297891307942,0.5547001962252291,1,1,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.9166666666666669,1.0,0.0796546089243048,0.8333333333333334,1,2,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.5,0.6090909090909091,0.3984490032961202,0.0,1,3,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8136363636363637,0.9727272727272728,0.1019491847080984,0.6330541649476573,1,4,,,
rehab24_ex1,classification,88,20,True,active,logreg,0.8,0.93,0.1206955576531552,0.6,1,5,,,
